Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198011,Water - Precipitation - rain,11/15/1980,11/1/1980,11/30/1980,,-1.63,International Atomic Energy Agency,-5.7,International Atomic Energy Agency,8,0.6,Institute of Geological and Nuclear Sciences,56,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198012,Water - Precipitation - rain,12/15/1980,12/1/1980,12/31/1980,,-1.91,International Atomic Energy Agency,-3.5,International Atomic Energy Agency,6.8,0.5,Institute of Geological and Nuclear Sciences,26,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198101,Water - Precipitation - rain,1/15/1981,1/1/1981,1/31/1981,,-0.69,International Atomic Energy Agency,-1.3,International Atomic Energy Agency,6,0.5,Institute of Geological and Nuclear Sciences,21,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198102,Water - Precipitation - rain,2/15/1981,2/1/1981,2/28/1981,,-1.62,International Atomic Energy Agency,-8.3,International Atomic Energy Agency,4.7,0.5,Institute of Geological and Nuclear Sciences,20,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198103,Water - Precipitation - rain,3/15/1981,3/1/1981,3/31/1981,,-2.46,International Atomic Energy Agency,-11.7,International Atomic Energy Agency,3.3,0.3,Institute of Geological and Nuclear Sciences,64,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198104,Water - Precipitation - rain,4/15/1981,4/1/1981,4/30/1981,,-2.63,International Atomic Energy Agency,-18.9,International Atomic Energy Agency,4.5,0.4,Institute of Geological and Nuclear Sciences,70,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198105,Water - Precipitation - rain,5/15/1981,5/1/1981,5/31/1981,,-6.25,International Atomic Energy Agency,-37.5,International Atomic Energy Agency,4.6,0.2,Institute of Geological and Nuclear Sciences,83,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198106,Water - Precipitation - rain,6/15/1981,6/1/1981,6/30/1981,,-5.02,International Atomic Energy Agency,-29.7,International Atomic Energy Agency,3.6,0.2,Institute of Geological and Nuclear Sciences,149,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198107,Water - Precipitation - rain,7/15/1981,7/1/1981,7/31/1981,,-4.16,International Atomic Energy Agency,-22.3,International Atomic Energy Agency,5,0.4,"Australian Nuclear Science and Technology Organisation, ANSTO",93,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",198108,Water - Precipitation - rain,8/15/1981,8/1/1981,8/31/1981,,-5.35,International Atomic Energy Agency,-32.6,International Atomic Energy Agency,7.1,0.4,"Australian Nuclear Science and Technology Organisation, ANSTO",162,,
