"Date","O18"
1912-08-15,-4.98586368560791
1912-09-15,-3.64653992652893
1912-10-15,-5.39377355575562
1912-11-15,-4.93037080764771
1912-12-15,-4.75029611587524
1913-01-15,-3.99876928329468
1913-02-15,-4.53693819046021
1913-03-15,-5.13070058822632
1913-04-15,-4.93094396591187
1913-05-15,-4.20633792877197
1913-06-15,-7.22463464736938
1913-07-15,-6.56089305877686
1913-08-15,-4.20605230331421
1913-09-15,-4.88993072509766
1913-10-15,-3.45811629295349
1913-11-15,-5.42289590835571
1913-12-15,-3.46750545501709
1914-01-15,-4.19992542266846
1914-02-15,-3.87142658233643
1914-03-15,-5.10871601104736
1914-04-15,-3.91058444976807
1914-05-15,-5.49767160415649
1914-06-15,-4.46255731582642
1914-07-15,-6.10909652709961
1914-08-15,-7.61160802841187
1914-09-15,-4.49750995635986
1914-10-15,-4.18085765838623
1914-11-15,-2.32624554634094
1914-12-15,-3.45346093177795
1915-01-15,-4.27177476882935
1915-02-15,-5.12568140029907
1915-03-15,-5.30233001708984
1915-04-15,-4.85833597183228
1915-05-15,-5.62875413894653
1915-06-15,-5.68672370910645
1915-07-15,-6.95986318588257
1915-08-15,-6.90534830093384
1915-09-15,-4.73524141311646
1915-10-15,-5.80557203292847
1915-11-15,-4.52214908599854
1915-12-15,-5.65549612045288
1916-01-15,-5.30245161056519
1916-02-15,-4.32551717758179
1916-03-15,-3.8792245388031
1916-04-15,-4.82061100006104
1916-05-15,-6.58695697784424
1916-06-15,-4.23934936523438
1916-07-15,-7.14578056335449
1916-08-15,-7.41139936447144
1916-09-15,-2.86594033241272
1916-10-15,-4.29662752151489
1916-11-15,-3.23462295532227
1916-12-15,-4.25070381164551
1917-01-15,-6.21621799468994
1917-02-15,-4.95089530944824
1917-03-15,-3.68435859680176
1917-04-15,-4.34399223327637
1917-05-15,-4.39545059204102
1917-06-15,-6.34395885467529
1917-07-15,-6.57187843322754
1917-08-15,-5.23915719985962
1917-09-15,-4.72799253463745
1917-10-15,-3.37144446372986
1917-11-15,-3.09963536262512
1917-12-15,-3.60558128356934
1918-01-15,-2.85695552825928
1918-02-15,-4.12190723419189
1918-03-15,-4.92185211181641
1918-04-15,-3.04194211959839
1918-05-15,-5.21285581588745
1918-06-15,-6.08809185028076
1918-07-15,-6.92024183273315
1918-08-15,-5.83969497680664
1918-09-15,-4.27303075790405
1918-10-15,-3.08996844291687
1918-11-15,-2.71289110183716
1918-12-15,-4.45111751556396
1919-01-15,-3.33200860023499
1919-02-15,-2.44186615943909
1919-03-15,-4.91046571731567
1919-04-15,-5.11085605621338
1919-05-15,-4.23629379272461
1919-06-15,-5.45638513565063
1919-07-15,-5.64652490615845
1919-08-15,-5.22923278808594
1919-09-15,-5.3557243347168
1919-10-15,-5.55174493789673
1919-11-15,-4.28375196456909
1919-12-15,-3.31334137916565
1920-01-15,-5.36792421340942
1920-02-15,-3.76684069633484
1920-03-15,-4.06007719039917
1920-04-15,-4.52216005325317
1920-05-15,-3.68560314178467
1920-06-15,-6.76593971252441
1920-07-15,-5.5633373260498
1920-08-15,-6.16426944732666
1920-09-15,-5.56208038330078
1920-10-15,-4.57734775543213
1920-11-15,-4.67214393615723
1920-12-15,-4.4559440612793
1921-01-15,-3.07931184768677
1921-02-15,-4.74633836746216
1921-03-15,-4.10026168823242
1921-04-15,-4.50891447067261
1921-05-15,-5.56013584136963
1921-06-15,-7.31688737869263
1921-07-15,-6.29991054534912
1921-08-15,-6.75229215621948
1921-09-15,-5.60624599456787
1921-10-15,-3.19331908226013
1921-11-15,-5.2919282913208
1921-12-15,-4.52480459213257
1922-01-15,-3.55521726608276
1922-02-15,-4.14619493484497
1922-03-15,-5.31937265396118
1922-04-15,-5.05694389343262
1922-05-15,-6.94602394104004
1922-06-15,-5.6620192527771
1922-07-15,-5.31856536865234
1922-08-15,-5.9343376159668
1922-09-15,-5.02533674240112
1922-10-15,-3.04528450965881
1922-11-15,-5.38234376907349
1922-12-15,-4.11299228668213
1923-01-15,-4.06627941131592
1923-02-15,-4.11231184005737
1923-03-15,-5.6063404083252
1923-04-15,-5.90034484863281
1923-05-15,-4.45972394943237
1923-06-15,-5.28671741485596
1923-07-15,-5.6643533706665
1923-08-15,-3.98531651496887
1923-09-15,-6.6135458946228
1923-10-15,-3.70568799972534
1923-11-15,-2.66248393058777
1923-12-15,-3.20019173622131
1924-01-15,-3.26667141914368
1924-02-15,-2.8388204574585
1924-03-15,-2.46905469894409
1924-04-15,-4.07005500793457
1924-05-15,-5.24685573577881
1924-06-15,-4.70502376556396
1924-07-15,-5.91584348678589
1924-08-15,-8.33982276916504
1924-09-15,-5.64526891708374
1924-10-15,-3.31035423278809
1924-11-15,-2.66589331626892
1924-12-15,-3.17601275444031
1925-01-15,-4.18391895294189
1925-02-15,-3.8242347240448
1925-03-15,-5.84169435501099
1925-04-15,-4.34104919433594
1925-05-15,-5.35120582580566
1925-06-15,-5.98579025268555
1925-07-15,-6.46910190582275
1925-08-15,-4.3433084487915
1925-09-15,-5.53304719924927
1925-10-15,-4.84563255310059
1925-11-15,-3.90954518318176
1925-12-15,-3.47422742843628
1926-01-15,-4.14213609695435
1926-02-15,-4.74372100830078
1926-03-15,-5.46112203598022
1926-04-15,-4.62281274795532
1926-05-15,-4.90195798873901
1926-06-15,-5.34587860107422
1926-07-15,-6.22942113876343
1926-08-15,-6.29306983947754
1926-09-15,-4.54528903961182
1926-10-15,-4.71284151077271
1926-11-15,-6.0294075012207
1926-12-15,-4.17799520492554
1927-01-15,-6.63397312164307
1927-02-15,-4.39755582809448
1927-03-15,-2.99771666526794
1927-04-15,-6.03853607177734
1927-05-15,-5.85948705673218
1927-06-15,-5.90253210067749
1927-07-15,-5.88794994354248
1927-08-15,-5.97408103942871
1927-09-15,-4.713134765625
1927-10-15,-4.80463552474976
1927-11-15,-4.98898220062256
1927-12-15,-6.41368389129639
1928-01-15,-5.03576040267944
1928-02-15,-3.07434988021851
1928-03-15,-3.37907910346985
1928-04-15,-3.43744897842407
1928-05-15,-6.75119066238403
1928-06-15,-5.67314386367798
1928-07-15,-5.28100204467773
1928-08-15,-5.86331939697266
1928-09-15,-3.34409475326538
1928-10-15,-4.15235996246338
1928-11-15,-3.12023949623108
1928-12-15,-4.50362920761108
1929-01-15,-4.43410873413086
1929-02-15,-7.11816549301147
1929-03-15,-5.1101393699646
1929-04-15,-5.43935441970825
1929-05-15,-8.38304615020752
1929-06-15,-7.34423685073853
1929-07-15,-6.61229610443115
1929-08-15,-5.30742788314819
1929-09-15,-4.75032806396484
1929-10-15,-4.3474235534668
1929-11-15,-4.44659471511841
1929-12-15,-4.43844079971313
1930-01-15,-4.08555507659912
1930-02-15,-6.46252155303955
1930-03-15,-3.70512843132019
1930-04-15,-5.48931932449341
1930-05-15,-6.53911161422729
1930-06-15,-6.32958507537842
1930-07-15,-5.1461615562439
1930-08-15,-6.05071115493774
1930-09-15,-3.59901189804077
1930-10-15,-2.27980065345764
1930-11-15,-4.11059427261353
1930-12-15,-5.24370670318604
1931-01-15,-2.74777317047119
1931-02-15,-2.46117544174194
1931-03-15,-4.60517072677612
1931-04-15,-4.79094552993774
1931-05-15,-4.49717569351196
1931-06-15,-4.49275302886963
1931-07-15,-7.3206582069397
1931-08-15,-2.98772716522217
1931-09-15,-6.46619081497192
1931-10-15,-3.11285400390625
1931-11-15,-3.67859029769897
1931-12-15,-3.90050172805786
1932-01-15,-4.67812871932983
1932-02-15,-4.94085311889648
1932-03-15,-2.74308323860168
1932-04-15,-5.05733776092529
1932-05-15,-5.29239463806152
1932-06-15,-6.19081830978394
1932-07-15,-5.98528146743774
1932-08-15,-6.36053228378296
1932-09-15,-5.67160129547119
1932-10-15,-3.92400121688843
1932-11-15,-4.59055042266846
1932-12-15,-4.05459833145142
1933-01-15,-4.37256145477295
1933-02-15,-4.63801670074463
1933-03-15,-3.23882555961609
1933-04-15,-4.8617115020752
1933-05-15,-5.38172960281372
1933-06-15,-6.45344829559326
1933-07-15,-5.91711902618408
1933-08-15,-6.18799018859863
1933-09-15,-4.21308183670044
1933-10-15,-4.82510042190552
1933-11-15,-2.66656422615051
1933-12-15,-3.62647151947021
1934-01-15,-4.27979707717896
1934-02-15,-4.90626525878906
1934-03-15,-5.01280784606934
1934-04-15,-5.12100601196289
1934-05-15,-5.775710105896
1934-06-15,-5.93171644210815
1934-07-15,-6.48568058013916
1934-08-15,-5.78686571121216
1934-09-15,-5.67579984664917
1934-10-15,-2.83627581596375
1934-11-15,-4.72502326965332
1934-12-15,-3.32584404945374
1935-01-15,-2.64150762557983
1935-02-15,-4.74017095565796
1935-03-15,-5.58327436447144
1935-04-15,-4.57681131362915
1935-05-15,-6.07948207855225
1935-06-15,-6.12817811965942
1935-07-15,-5.56789588928223
1935-08-15,-5.27287769317627
1935-09-15,-3.80061984062195
1935-10-15,-3.96209216117859
1935-11-15,-3.89463663101196
1935-12-15,-4.54028177261353
1936-01-15,-5.00095272064209
1936-02-15,-4.04160118103027
1936-03-15,-4.95471096038818
1936-04-15,-4.3472785949707
1936-05-15,-5.3078408241272
1936-06-15,-6.0056004524231
1936-07-15,-5.60998058319092
1936-08-15,-4.93322706222534
1936-09-15,-3.57835555076599
1936-10-15,-3.64883184432983
1936-11-15,-4.41445302963257
1936-12-15,-2.76029920578003
1937-01-15,-1.16587114334106
1937-02-15,-6.10106134414673
1937-03-15,-3.30879282951355
1937-04-15,-4.42222833633423
1937-05-15,-4.49118089675903
1937-06-15,-4.76938104629517
1937-07-15,-5.53148984909058
1937-08-15,-5.03324937820435
1937-09-15,-4.69311809539795
1937-10-15,-3.08771395683289
1937-11-15,-2.80419087409973
1937-12-15,-3.94740033149719
1938-01-15,-4.10424613952637
1938-02-15,-5.35278797149658
1938-03-15,-5.12071514129639
1938-04-15,-5.88292121887207
1938-05-15,-5.41321325302124
1938-06-15,-5.86849069595337
1938-07-15,-4.77605533599854
1938-08-15,-6.96591567993164
1938-09-15,-4.48807144165039
1938-10-15,-5.33539295196533
1938-11-15,-5.46281242370605
1938-12-15,-3.23799157142639
